ForUse,Audience,Domain,id,Agents,Missions,Area,agentAbsent,identifier
Placeholder,Placeholder,Placeholder,0,[],[],Placeholder,false,-24
Home 🏠,🎁 Parents 👫,🏠 Home Management 🏕,1.01,[],[],Plan and Organize Weekly Family Meals 🍽️,false,-23
Home 🏠,🎁 Parents 👫,🏫 Education 🏫,1.02,[],[],Manage Household Chores 🧘‍♂️,false,-22
Home 🏠,🎁 Parents 👫,🏸 Budgeting 💶,1.03,[],[],Help with Homework and Study Scheduling 📚👨‍🏫,false,-21
Home 🏠,🎁 Parents 👫,🤦‍♂️ Other 🤷‍♀️,1.04,[],[],🤦‍♂️ Other 🤷‍♀️,false,-20
Home 🏠,🧒‍🎓 High or Middle Schoolers 👨‍💻,🏫 Education 🏫,2.01,[],[],Help with Homework and Study Scheduling 📚👨‍🏫🕒,false,-19
Home 🏠,🧒‍🎓 High or Middle Schoolers 👨‍💻,🤿 Fitness 🌋,2.02,[],[],Monitor and Guide Fitness and Wellness Routines 👩‍⚕️,false,-18
Home 🏠,🧒‍🎓 High or Middle Schoolers 👨‍💻,🎥 Digital Management ⌨️,2.03,[],[],Organize Digital Photos and Family Memories 💽️,false,-17
Home 🏠,🧒‍🎓 High or Middle Schoolers 👨‍💻,🤦‍♂️ Other 🤷‍♀️,2.04,[],[],🤦‍♂️ Other 🤷‍♀️,false,-16
Home 🏠,👔 Bachelors 🎉,🏸 Budgeting 💶,3.01,[],[],Budget and Track Household Expenses 💰,false,-15
Home 🏠,👔 Bachelors 🎉,💵 Travel ✈️,3.02,[],[],Plan and Organize Weekend Getaways ✈️,false,-14
Home 🏠,👔 Bachelors 🎉,🏠 Home Management 🏕,3.03,[],[],Manage Household Chores and Cleaning Schedule 🧘‍♂️,false,-13
Home 🏠,👔 Bachelors 🎉,🤦‍♂️ Other 🤷‍♀️,3.04,[],[],🤦‍♂️ Other 🤷‍♀️,false,-12
Home 🏠,🏠 Newly Married Couples 💞,🏠 Home Management 🏕,4.01,[],[],Plan and Organize Weekly Meals 🍽️,false,-11
